Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;2950272908
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;2259698943
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;1467500137
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;553172384,6
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;64217127,75
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;135977139,6
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;38832153,77
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;55941448,42
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;63187984,58
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;48609350,96
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;14578633,62
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;68860455,11
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;487382202,3
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;209735339,6
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;10744902,07
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;163233098
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;103668862,7
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;15201874,92
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;1067256147
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Transferências Constitucionais e Legais;siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais;677459068,4
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Contrib. do Servidor para o Plano de Previdência;siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia;55941448,42
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Compensações Financ. entre Regimes Previdência;siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia;41503,11
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Rendimentos de Aplicações de Recursos Previdenciários;siconfi-cor_RendimentosDeAplicacoesDeRecursosPrevidenciarios;1428339,35
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Dedução de Receita para Formação do FUNDEB;siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB;332385787,5
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;RECEITA CORRENTE LÍQUIDA (III) = (I - II);siconfi-cor_RREO3ReceitaCorrenteLiquida;1883016762
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (V) = (III - IV);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento;1883016762
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (IX) = (V - VI - VII - VIII);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDaDespesaComPessoal;1883016762
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;2552160725
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;1672437471
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;1369472337
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;87533124,17
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;18658180,71
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;164847003,5
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;31926825,32
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;140234469,7
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;43463968,99
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;32740819,09
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;10723149,9
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;61458312,2
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;625476237,7
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;279547885,5
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;11175280,07
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;168346629,2
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;166406443
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;9090265,71
