Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;1508430345
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;910986803,7
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;805943833,5
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;68233723,68
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;3636485,66
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;20516439,64
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;12656321,24
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;119149435,3
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;9239112,66
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;7899066,81
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;1340045,85
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Receita Agropecuária;siconfi-cor_RREO3ReceitaAgropecuaria;4112
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Receita Industrial;siconfi-cor_RREO3ReceitaIndustrial;357398,37
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;39552062,12
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;353273204,1
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;178177017
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Transferências da LC nº 87/1996;siconfi-cor_RREO3TransferenciasDaLC871996;2316913,56
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;6846124,62
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;136204495
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;29728653,95
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;75868217,04
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;464055784,7
Governo do Estado do Mato Grosso;51;MT;3305531;<MR-11>;Transferências Constitucionais e Legais;siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais;252403275,6
