Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;3305827325
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;2670340746
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;2240587203
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;166747453,1
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;31339796,7
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;130515264,8
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;101151028,9
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;80243425,84
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;21684695,38
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;17624161,67
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;4060533,71
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Receita Agropecuária;siconfi-cor_RREO3ReceitaAgropecuaria;42528,42
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Receita Industrial;siconfi-cor_RREO3ReceitaIndustrial;0
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;44156026,46
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;460870541,4
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;109167927,5
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Transferências da LC nº 87/1996;siconfi-cor_RREO3TransferenciasDaLC871996;0
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;24001713,45
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;229663791,8
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;98037108,59
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;28489361,53
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;1119890796
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Transferências Constitucionais e Legais;siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais;651497236,9
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Contrib. do Servidor para o Plano de Previdência;siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia;80243425,84
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Compensações Financ. entre Regimes Previdência;siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia;3685516,15
Governo do Estado de Santa Catarina;42;SC;7164788;<MR-11>;Dedução de Receita para Formação do FUNDEB;siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB;384464616,8
