Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;22970766356
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;20461568363
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;12558222783
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;6526481984
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;125034688,8
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;559520952,8
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;692307954,2
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;590021878,2
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;329094499
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;129333437,7
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;199761061,3
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;Receita Agropecuária;siconfi-cor_RREO3ReceitaAgropecuaria;769921,78
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;Receita Industrial;siconfi-cor_RREO3ReceitaIndustrial;8167905,07
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;239588300,8
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;983979745,2
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;92687957,51
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;83421954,76
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;807869832,9
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;357575743,2
Governo do Estado de São Paulo;35;SP;45538936;<MR-11>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;7594963904
