Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;4690764000
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;3589503120
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;2905371895
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;301085002,8
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;56592111,23
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;197955052,2
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;128499059,5
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;152607557,1
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;129794291,2
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;117359166,8
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;12435124,4
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Receita Agropecuária;siconfi-cor_RREO3ReceitaAgropecuaria;71168,98
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Receita Industrial;siconfi-cor_RREO3ReceitaIndustrial;15481,44
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;50775598,29
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;717912693,7
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;177384685,6
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;29005261,76
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;307996849,7
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;203525896,7
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;50084088,6
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;1565403077
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Transferências Constitucionais e Legais;siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais;884179097,4
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Contrib. do Servidor para o Plano de Previdência;siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia;152607557,1
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Compensações Financ. entre Regimes Previdência;siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia;4252951,74
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Rendimentos de Aplicações de Recursos Previdenciários;siconfi-cor_RendimentosDeAplicacoesDeRecursosPrevidenciarios;7303050,23
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;Dedução de Receita para Formação do FUNDEB;siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB;517060421
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;RECEITA CORRENTE LÍQUIDA (III) = (I - II);siconfi-cor_RREO3ReceitaCorrenteLiquida;3125360922
Governo do Estado de Santa Catarina;42;SC;7338473;<MR-11>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (V) = (III - IV);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento;3125360922
