Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;40838466,78
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;138587086,2
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;116034610
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;83516989,08
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;10961895,18
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;5910887,13
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;5051008,05
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Receita Agropecuária;siconfi-cor_RREO3ReceitaAgropecuaria;92678,13
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Receita Industrial;siconfi-cor_RREO3ReceitaIndustrial;4699,2
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;47200817,26
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;612602899,8
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;171217107,7
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;29458043,43
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-10>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;250940833,3
