Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;3096967904
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;2270329545
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;1446189580
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;584445560,8
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;36609653,8
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;168507171,7
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;34577578,41
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;161002666,1
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;53670188,79
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;34365554,42
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;19304634,37
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;60927839,71
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;527152317,9
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;231614362,6
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;14359244,83
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;157330174,1
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;123848536,4
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;23885347,03
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;1166462352
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Transferências Constitucionais e Legais;siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais;672892195,2
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Contrib. do Servidor para o Plano de Previdência;siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia;161002666,1
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Compensações Financ. entre Regimes Previdência;siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia;413462,29
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Rendimentos de Aplicações de Recursos Previdenciários;siconfi-cor_RendimentosDeAplicacoesDeRecursosPrevidenciarios;543353,04
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;Dedução de Receita para Formação do FUNDEB;siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB;331610675,1
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;RECEITA CORRENTE LÍQUIDA (III) = (I - II);siconfi-cor_RREO3ReceitaCorrenteLiquida;1930505552
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (V) = (III - IV);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento;1930505552
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-11>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (IX) = (V - VI - VII - VIII);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDaDespesaComPessoal;1930505552
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;2630761297
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;1692379441
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;1392095359
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;87622206,86
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;40644144
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;129925828,6
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;42091902,9
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;94691847,01
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;44645061,96
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;35764918,84
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;8880143,12
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;107702682,9
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;676709849
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;318135098,5
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;16254760,8
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;183102608,4
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;159217381,3
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;14632414,49
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;796118938,6
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Transferências Constitucionais e Legais;siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais;407705714,4
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Contrib. do Servidor para o Plano de Previdência;siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia;94691847,01
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Compensações Financ. entre Regimes Previdência;siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia;816737,81
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Rendimentos de Aplicações de Recursos Previdenciários;siconfi-cor_RendimentosDeAplicacoesDeRecursosPrevidenciarios;818330,07
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;Dedução de Receita para Formação do FUNDEB;siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB;292086309,3
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;RECEITA CORRENTE LÍQUIDA (III) = (I - II);siconfi-cor_RREO3ReceitaCorrenteLiquida;1834642358
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;( - ) Transferências obrigatórias da União relativas às emendas individuais (art. 166-A, § 1º, da CF) (IV);siconfi-cor_RREO3TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais;20120716
Governo do Estado do Mato Grosso do Sul;50;MS;2833742;<MR-10>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (V) = (III - IV);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento;1814521642
