Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;2363366839
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;1666048863
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;1479696102
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;46565460,45
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;7202754,77
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;70815722,14
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;61768823,18
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;15653976,08
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;124753807,9
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;124597862,5
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;155945,41
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Receita Industrial;siconfi-cor_RREO3ReceitaIndustrial;446432,71
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;5202617,91
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;522081700,8
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;198384859,8
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;16799430,41
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;127232794,1
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;179664616,6
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;29179441,08
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;767562045,8
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Transferências Constitucionais e Legais;siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais;407343480,2
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Contrib. do Servidor para o Plano de Previdência;siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia;15451544,44
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Compensações Financ. entre Regimes Previdência;siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia;916717,62
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Rendimentos de Aplicações de Recursos Previdenciários;siconfi-cor_RendimentosDeAplicacoesDeRecursosPrevidenciarios;73294015,91
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;Dedução de Receita para Formação do FUNDEB;siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB;270556287,6
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;RECEITA CORRENTE LÍQUIDA (III) = (I - II);siconfi-cor_RREO3ReceitaCorrenteLiquida;1595804794
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (V) = (III - IV);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento;1595804794
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-11>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII) = (V - VI);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDaDespesaComPessoal;1595804794
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;2747055497
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;1524352763
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;1379547530
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;39300879,7
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;5822877,22
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;42243509,75
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;57437965,86
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;44380742,03
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;141166110
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;135072540,3
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;6093569,62
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Receita Agropecuária;siconfi-cor_RREO3ReceitaAgropecuaria;64,44
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Receita Industrial;siconfi-cor_RREO3ReceitaIndustrial;565575,37
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;10492928,38
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;1007511824
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;307415603,8
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;15021409,73
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;104092408,9
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;580982401,6
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;18585489,95
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;780129945,5
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Transferências Constitucionais e Legais;siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais;377110545,3
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Contrib. do Servidor para o Plano de Previdência;siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia;44244307,17
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Compensações Financ. entre Regimes Previdência;siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia;1213322,89
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Rendimentos de Aplicações de Recursos Previdenciários;siconfi-cor_RendimentosDeAplicacoesDeRecursosPrevidenciarios;81430843,66
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;Dedução de Receita para Formação do FUNDEB;siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB;276130926,5
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;RECEITA CORRENTE LÍQUIDA (III) = (I - II);siconfi-cor_RREO3ReceitaCorrenteLiquida;1966925551
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;(-) Transferências obrigatórias da União relativas às emendas individuais (art. 166-A, § 1º, da CF)  (IV);siconfi-cor_RREO3TransferenciasObrigatoriasDaUniaoRelativasAsEmendasIndividuais;2090861
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (V) = (III - IV);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento;1964834690
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-10>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII) = (V - VI);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDaDespesaComPessoal;1964834690
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-9>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;2367269161
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-9>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;1600307458
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-9>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;1322205799
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-9>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;80370419,38
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-9>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;10003399,43
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-9>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;112298292
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-9>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;75429547,97
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-9>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;45450662,43
Governo do Estado do Espírito Santo;32;ES;4108508;<MR-9>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;108765107,8
